"id","title","description","availability","condition","price","link","image_link","brand","google_product_category"
"AKT-RS901","Ramo de gipsófila x5 tallos","hojas decorativas, follaje verde, natural, fresco, decoración floral","in stock","new","5.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=AKT-RS901","https://dl.dropboxusercontent.com/scl/fi/mcypqbxdrlu7zoebldrwu/AKT-RS901.jpg?rlkey=qg205bdmqg9woa7x4jmmt4tyt&st=kiv8altn&raw=1","Wooly Imports","Home & Garden > Decor"
"AKT-RS001","Ramo de llamaplata x7 tallos","elegante, flores decorativas, arreglo moderno, decoración floralverde","in stock","new","5.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=AKT-RS001","https://dl.dropboxusercontent.com/scl/fi/dpyts7raqo99gasibcegf/Vhq1CvnmS.jpg?rlkey=l26urs14llvobvik5lo9cq650&st=uq498w2y&raw=1","Wooly Imports","Home & Garden > Decor"
"AKT-RG401","Ramo de girasol premium x5 tallos","flores artificiales, manualidades, decoración creativa, material foamy","in stock","new","15.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=AKT-RG401","https://dl.dropboxusercontent.com/scl/fi/r0dwcnpmu75sa67607441/AKT-RG401.jpg?rlkey=be9h4s1irsou2feteqmjzrna8&st=f0lgppx1&raw=1","Wooly Imports","Home & Garden > Decor"
"70FF25","Flores de foamy x25 unidades","flores artificiales, manualidades, decoración creativa, material foamy","in stock","new","20.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=70FF25","https://dl.dropboxusercontent.com/scl/fi/jrzcsanc5n8sqps2h04bq/70FF25.jpg?rlkey=z7qxnvpzv59s250f34q1nkcsj&st=wlo6i4y2&raw=1","Wooly Imports","Home & Garden > Decor"
"8613-2789","Ramo de Lirios Grande x7 tallos","flores realistas, látex, decoración elegante, artificial premium","in stock","new","20.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=8613-2789","https://dl.dropboxusercontent.com/scl/fi/85u14nx6hvrmql7c3puc8/442026017C0426.jpg?rlkey=ztc3taxz7siejz3ezfa17a8c7&st=8og894br&raw=1","Wooly Imports","Home & Garden > Decor"
"GSO-R1316","Ramo de azucena x7 tallos","flores siliconadas, decoración moderna, flores artificiales realistas","in stock","new","20.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=GSO-R1316","https://dl.dropboxusercontent.com/scl/fi/2jhtr700lc5w3jvbagpbp/GSO-R1316.jpg?rlkey=pi3zsegf79z8cx2shtkr4ol73&st=t4z4qbwj&raw=1","Wooly Imports","Home & Garden > Decor"
"7017-C001","Tulipan siliconado x12u.","elegante, flores decorativas, decoración floral moderna","in stock","new","30.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=7017-C001","https://dl.dropboxusercontent.com/scl/fi/19bhx9ieqbgd2cmeptxl6/7017TSC001.jpg?rlkey=f76y26igjh8m837kel0doicxz&st=ilee2zmt&raw=1","Wooly Imports","Home & Garden > Decor"
"CT-193","Ramo Margarita otoñal x6 tallos","Ramo de margaritas otoñales decorativas con 6 tallos, perfecto para arreglos florales, decoración de eventos, regalos, florerías y proyectos decorativos con estilo elegante y natural.6 colores rosa, celeste, anaranjado, fucsia, blanco, melon oto;ales","in stock","new","3.90 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CT-193","https://dl.dropboxusercontent.com/scl/fi/5rtpj7ccu62dtjzpw9vb3/CT-193B.jpg?rlkey=n8v130z8s9eox1nih27th2gvi&st=c5xbuvuw&raw=1","Wooly Imports","Home & Garden > Decor"
"B01244PAP","Ramo de margaritas silvestre x7 tallos","Ramo artificial de margaritas silvestres elaborado con materiales decorativos de alta calidad. Ideal para florerías, decoración de ambientes, manualidades y arreglos florales personalizados.5 colores, rosado, amarillo,blanco, blanco hueso, blanco crema","in stock","new","6.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=B01244PAP","https://dl.dropboxusercontent.com/scl/fi/sd8m4hlflkw66ro4e0dw5/B01244PAP.jpg?rlkey=hz6fig87oi0kw8bse1545cir2&st=lufydywi&raw=1","Wooly Imports","Home & Garden > Decor"
"FP2177RAM","Ramo de rosas con lirios x7 tallos","Ramo artificial de rosas y lirios con acabado realista y colores atractivos. Perfecto para decoración, regalos, arreglos florales, centros de mesa y proyectos creativos.7 colores, celeste con blanco, rojo con rosado, rosado con amarillo, rosado , melon con blanco, malva con rosado,blanco","in stock","new","15.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=FP2177RAM","https://dl.dropboxusercontent.com/scl/fi/afv49s8qpvftizudzng5i/FP2177RAM.jpg?rlkey=nuwdebdkiawmifhecnzdjvgsp&st=y1kormj7&raw=1","Wooly Imports","Home & Garden > Decor"
